compound,positive,neutral,negative,Date,tweets_ago,tweet,news source
0.2732,0.176,0.719,0.105,Wed Jun 06 21:00:24 +0000 2018,100,Don’t miss a special performance from @springsteen this Sunday at the #TonyAwards: https://t.co/LYYdleaFwU https://t.co/IKkKoITH9y,CBS
0.3612,0.128,0.872,0.0,Thu Jun 07 17:03:26 +0000 2018,99,"Get ready for show-stopping performances by the casts of the 2018 Tony-nominated shows Mean Girls, SpongeBob Square… https://t.co/NiSx9Bbw0F",CBS
0.9078,0.436,0.564,0.0,Fri Jun 08 13:58:15 +0000 2018,98,"We all get by with a little help from our friends, so what better way to celebrate #NationalBestFriendsDay than to… https://t.co/pIZezbBwaT",CBS
0.0,0.0,1.0,0.0,Fri Jun 08 15:00:03 +0000 2018,97,Here's @laChanze with a reminder that you can stream the #TonyAwards this Sunday on CBS All Access! https://t.co/8TDEXzKmyQ,CBS
0.296,0.18,0.82,0.0,Fri Jun 08 19:46:17 +0000 2018,96,Join @etnow's @DDirecto this Sunday on the #TonyAwards' red carpet. https://t.co/7jS8g10KmY,CBS
0.0,0.0,1.0,0.0,Sat Jun 09 16:00:00 +0000 2018,95,Here's everything you need to know before watching the #TonyAwards this Sunday at 8/7c: https://t.co/jcRgNGmLUZ https://t.co/8suUhVPFK6,CBS
0.5093,0.155,0.845,0.0,Sat Jun 09 21:00:02 +0000 2018,94,These two know a thing or two about awards! Watch them light up the stage tomorrow at the #TonyAwards. ✨ https://t.co/KHVZp65oLS,CBS
0.4184,0.157,0.843,0.0,Sun Jun 10 15:00:01 +0000 2018,93,Tonight's the night! Join @etnow's @DDirecto on the #TonyAwards' red carpet starting at 5PM ET! https://t.co/hZLOSiIRAT,CBS
0.0,0.0,1.0,0.0,Sun Jun 10 22:01:25 +0000 2018,92,"The hosts have arrived! We're LIVE with @SaraBareilles, @joshgroban and more on the #TonyAwards red carpet hosted b… https://t.co/NtarbgywLe",CBS
0.0,0.0,1.0,0.0,Sun Jun 10 23:18:15 +0000 2018,91,✨ @thegoodfight's Christine Baranski has arrived on the #TonyAwards red carpet! Watch LIVE at 8/7c on CBS! https://t.co/XnXAnPtRrc,CBS
0.0,0.0,1.0,0.0,Sun Jun 10 23:59:00 +0000 2018,90,Grab your popcorn... it's time for the #TonyAwards! Go and stream the entire show now: https://t.co/Wo1algQHix https://t.co/JGYTk4NPDN,CBS
0.0,0.0,1.0,0.0,Mon Jun 11 00:04:15 +0000 2018,89,✨ @joshgroban and @SaraBareilles take the stage to begin an unforgettable evening. #TonyAwards https://t.co/y9uzlK2DzO,CBS
0.8834,0.563,0.437,0.0,Mon Jun 11 00:12:31 +0000 2018,88,Andrew Garfield wins Best Leading Actor in a Play. #TonyAwards @angelsbway https://t.co/s2VQnw6IPP,CBS
0.0,0.0,1.0,0.0,Mon Jun 11 00:18:16 +0000 2018,87,On Wednesdays they wear pink and on Sundays they perform at the #TonyAwards. 💕 Who thought that performance by the… https://t.co/w7QDkaX6kF,CBS
0.0,0.0,1.0,0.0,Mon Jun 11 00:22:15 +0000 2018,86,Representing the hardest-working men and women in Broadway… ensemble members from every nominated musical tonight!… https://t.co/imlEEnOUla,CBS
0.0,0.0,1.0,0.0,Mon Jun 11 00:24:31 +0000 2018,85,Tina Fey has a boat?? #MeanGirls #TonyAwards https://t.co/phYxmHMd3d,CBS
0.8908,0.57,0.43,0.0,Mon Jun 11 00:27:00 +0000 2018,84,Laurie Metcalf wins Best Featured Actress in a Play! #TonyAwards @threetallwomen https://t.co/y4teyJaRPs,CBS
0.0,0.0,1.0,0.0,Mon Jun 11 00:31:28 +0000 2018,83,"If you haven't started singing, you will be the rest of the night. #TonyAwards #MyFairLady https://t.co/jbGXwnru8N",CBS
0.4588,0.167,0.833,0.0,Mon Jun 11 00:34:45 +0000 2018,82,Keep your acceptance speeches short or else the #TonyAwards will get the angels involved. #AngelsInAmerica 👼 https://t.co/oznhezRzDc,CBS
0.0,0.0,1.0,0.0,Mon Jun 11 00:44:36 +0000 2018,81,Can the 73rd annual #TonyAwards just be three-hours of @TitussBurgess? https://t.co/3rCZwwTUtv,CBS
0.8858,0.565,0.435,0.0,Mon Jun 11 00:45:14 +0000 2018,80,A big congratulations to @springsteen for his Special Tony award! ✨ #TonyAwards https://t.co/i16u8uv9aT,CBS
0.8478,0.506,0.494,0.0,Mon Jun 11 00:50:18 +0000 2018,79,✨ @LindsayMendez wins Best Featured Actress in a Musical! #TonyAwards @carouselbway https://t.co/MtgFowscN5,CBS
0.0,0.0,1.0,0.0,Mon Jun 11 00:51:11 +0000 2018,78,Who lives in a pineapple and just performed at The Tonys? 🍍🎶 The cast of SpongeBob SquarePants: The Musical!… https://t.co/mvFxdh9UJi,CBS
0.0,0.0,1.0,0.0,Mon Jun 11 00:58:06 +0000 2018,77,🌟 @joshgroban and @SaraBareilles are Host Goals. 🌟 #TonyAwards https://t.co/OGQec8cXJ6,CBS
0.8834,0.563,0.437,0.0,Mon Jun 11 01:02:47 +0000 2018,76,Nathan Lane wins Best Featured Actor in a Play. #TonyAwards @angelsbway https://t.co/xc8M7JtLDE,CBS
0.1531,0.148,0.852,0.0,Mon Jun 11 01:08:24 +0000 2018,75,Nathan Lane saw his #AngelsinAmerica role as a challenge. How will you challenge yourself in 2018? #TonyAwards https://t.co/3WXd6AqgBi,CBS
0.1511,0.102,0.898,0.0,Mon Jun 11 01:08:28 +0000 2018,74,RT if that musical number by the cast of Carousel blew you away! #TonyAwards https://t.co/CMzMNtcAQO,CBS
